lat,lon,accuracy,f1_macro,f1_weighted,mcc,balanced_accuracy,n_samples,f1_class0,f1_class1,f1_class2,f1_class3,f1_class4
8.25,77.25,0.6875,0.20933660933660936,0.6856060606060606,0.19484992372820173,0.21297297297297296,48,0.8648648648648649,0.18181818181818182,0.0,0.0,0.0
8.25,77.5,0.7291666666666666,0.34280193236714973,0.7508454106280192,0.4181237829623474,0.4527027027027027,48,0.8695652173913043,0.4444444444444444,0.4,0.0,0.0
8.25,77.75,0.75,0.2743993371996686,0.7724385528859431,0.42651517604464995,0.3017543859649122,48,0.9014084507042254,0.47058823529411764,0.0,0.0,0.0
8.5,77.0,0.7291666666666666,0.3322222222222222,0.7291666666666666,0.34796347980374126,0.4027777777777778,48,0.8611111111111112,0.4,0.0,0.0,0.4
8.5,77.25,0.6875,0.20933660933660936,0.6893939393939394,0.19596975087606497,0.20630630630630634,48,0.8648648648648649,0.18181818181818182,0.0,0.0,0.0
8.5,77.5,0.8125,0.23209876543209873,0.8106995884773661,0.3419794106094607,0.28536585365853656,48,0.9382716049382716,0.2222222222222222,0.0,0.0,0.0
8.5,77.75,0.8541666666666666,0.4595679012345679,0.866820987654321,0.4922044515716887,0.5178571428571428,48,0.9382716049382716,0.4,0.5,0.0,0.0
8.5,78.0,0.7708333333333334,0.3583783783783784,0.8057432432432433,0.4307679606223976,0.48124999999999996,48,0.8918918918918919,0.4,0.5,0.0,0.0
8.75,76.75,0.6458333333333334,0.2845864661654135,0.697094298245614,0.3478734486202994,0.35,48,0.8571428571428571,0.3157894736842105,0.0,0.0,0.25
8.75,77.0,0.7916666666666666,0.5350840336134454,0.7994047619047618,0.55431100389224,0.5196078431372548,48,0.9117647058823529,0.42857142857142855,0.0,0.0,0.8
8.75,77.25,0.8125,0.4222222222222222,0.8425925925925926,0.5630878403486554,0.5438596491228069,48,0.8888888888888888,0.2222222222222222,0.0,0.0,1.0
8.75,77.5,0.8125,0.40034632034632034,0.8181096681096681,0.4703092804900142,0.5133333333333333,48,0.935064935064935,0.4,0.0,0.0,0.6666666666666666
8.75,77.75,0.8958333333333334,0.627104377104377,0.900182379349046,0.6221940054468309,0.6378048780487805,48,0.9629629629629629,0.5454545454545454,0.0,1.0,0.0
8.75,78.0,0.7291666666666666,0.2073926073926074,0.7703546453546454,0.21703030106361534,0.34308943089430893,48,0.8831168831168831,0.15384615384615385,0.0,0.0,0.0
9.0,76.75,0.7708333333333334,0.4184615384615385,0.80982905982906,0.5588139497724074,0.6732026143790849,48,0.8923076923076924,0.5333333333333333,0.0,0.0,0.6666666666666666
9.0,77.0,0.6458333333333334,0.21835748792270532,0.6525764895330113,0.2364173778032565,0.22142857142857145,48,0.8695652173913043,0.0,0.0,0.0,0.2222222222222222
9.0,77.25,0.75,0.4158508158508159,0.7837995337995339,0.5358555472564929,0.526984126984127,48,0.8484848484848485,0.3076923076923077,0.0,0.0,0.9230769230769231
9.0,77.5,0.6875,0.28809523809523807,0.7437996031746031,0.36758144051581537,0.3833333333333333,48,0.8571428571428571,0.25,0.3333333333333333,0.0,0.0
9.0,77.75,0.75,0.6944444444444444,0.804976851851852,0.474190672967227,0.8140243902439024,48,0.8611111111111112,0.25,0.6666666666666666,1.0,0.0
9.0,78.0,0.75,0.37948717948717947,0.7905982905982906,0.240590277632746,0.40317460317460324,48,0.8717948717948718,0.26666666666666666,0.0,0.0,0.0
9.0,78.25,0.8125,0.40225563909774437,0.8684210526315789,0.5095831892204874,0.7717770034843205,48,0.8947368421052632,0.7142857142857143,0.0,0.0,0.0
9.25,76.5,0.6666666666666666,0.39841269841269844,0.6747685185185185,0.3634107043123633,0.4614583333333333,48,0.8253968253968254,0.38095238095238093,0.2857142857142857,0.0,0.5
9.25,76.75,0.7708333333333334,0.36013071895424836,0.7657271241830065,0.5083952599733202,0.42373737373737375,48,0.9117647058823529,0.5555555555555556,0.0,0.0,0.3333333333333333
9.25,77.0,0.6875,0.3135064935064935,0.6444534632034632,0.3204746539921685,0.29375,48,0.8857142857142857,0.18181818181818182,0.0,0.0,0.5
9.25,77.25,0.7708333333333334,0.4789473684210527,0.78125,0.3686789801843041,0.44561403508771935,48,0.8947368421052632,0.0,0.5,0.5,0.5
9.25,77.5,0.9166666666666666,0.5888278388278388,0.9141483516483516,0.7526217338519798,0.6125,48,0.9743589743589743,0.7142857142857143,0.6666666666666666,0.0,0.0
9.25,77.75,0.6875,0.35342446837890085,0.7622721623860812,0.3427531268250668,0.521680216802168,48,0.8450704225352113,0.23529411764705882,0.3333333333333333,0.0,0.0
9.25,78.0,0.8125,0.46765734265734266,0.8547494172494172,0.5045326793709447,0.6944444444444445,48,0.9090909090909091,0.46153846153846156,0.5,0.0,0.0
9.25,78.25,0.8541666666666666,0.4678184281842819,0.8584293134598013,0.44809822240984165,0.6011904761904762,48,0.926829268292683,0.4444444444444444,0.0,0.5,0.0
9.25,78.5,0.8333333333333334,0.31166666666666665,0.8624999999999999,0.5519538596405927,0.5074786324786325,48,0.9333333333333333,0.625,0.0,0.0,0.0
9.25,78.75,0.75,0.28095238095238095,0.7787698412698413,0.36953946489978723,0.6947368421052631,48,0.8333333333333334,0.5714285714285714,0.0,0.0,0.0
